course_id;Название курса;Категория;Цена;Себестоимость;Налог;
101;Python-разработчик;IT;150000;45000;6%;
102;Тестировщик ПО;IT;90000;25000;6%;
103;Веб-разработчик;IT;120000;35000;6%;
104;Аналитик данных;IT;135000;40000;6%;
105;Специалист по нейросетям;IT;180000;60000;6%;
106;Frontend-разработчик;IT;110000;30000;6%;
107;Data Scientist;IT;210000;75000;6%;
108;Java-разработчик;IT;160000;50000;6%;
109;Кибербезопасность;IT;195000;65000;6%;
110;Менеджер IT-проектов;IT;140000;40000;6%;
201;Интернет-маркетолог;Маркетинг;85000;20000;6%;
202;Таргетолог;Маркетинг;60000;15000;6%;
203;Контекстолог;Маркетинг;65000;15000;6%;
204;SMM-специалист;Маркетинг;55000;12000;6%;
205;SEO-специалист;Маркетинг;75000;18000;6%;
206;Контент-маркетолог;Маркетинг;50000;10000;6%;
207;Email-маркетолог;Маркетинг;45000;9000;6%;
208;Веб-аналитик;Маркетинг;95000;25000;6%;
209;Видеомаркетолог;Маркетинг;70000;20000;6%;
210;Influencer-менеджер;Маркетинг;60000;15000;6%;
301;UX/UI-дизайнер;Дизайн;115000;35000;6%;
302;Графический дизайнер;Дизайн;80000;20000;6%;
303;Веб-дизайнер;Дизайн;90000;25000;6%;
304;Моушн-дизайнер;Дизайн;125000;40000;6%;
305;Дизайнер интерьеров;Дизайн;155000;50000;6%;
306;3D-дженералист;Дизайн;170000;55000;6%;
307;Иллюстратор;Дизайн;65000;15000;6%;
308;Дизайнер карточек для маркетплейсов;Дизайн;35000;7000;6%;
309;Продуктовый дизайнер;Дизайн;145000;45000;6%;
310;AI Designer;Дизайн;185000;60000;6%;
